번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,2538페이지중 980페이지까지만함
50626,1913송정역시장(송정역전매일시장),한끼라면,"광주광역시 광산구 송정로8번길 30(송정동), 한끼라면",곽현지,-,분식,,,
50625,1913송정역시장(송정역전매일시장),산수모밀,"광주광역시 광산구 송정로 8번길, 8",서성열,629456318,메밀,,,
번호,시장명,상호명,주소,대표,연락처,취급품목(업종),,,
50624,1913송정역시장(송정역전매일시장),햇살손만두,"광주광역시 광산구 송정로 8번길, 20-1",김미영,629418879,만두,,,
50623,1913송정역시장(송정역전매일시장),춤추는찹쌀도너츠,"광주광역시 광산구 송정로29번길 64 (송정동), 2동19호",박병규,7075225652,도너츠,,,
50622,1913송정역시장(송정역전매일시장),흥국굴비,"광주광역시 광산구 송정로 8번길, 25",강동성,629426696,냉동수산물,,,
50621,1913송정역시장(송정역전매일시장),계란밥,"광주광역시 광산구 송정로8번길 13, 계란밥",박강근,-,기타잡화,,,
50620,1913송정역시장(송정역전매일시장),밀밭양조장,"광주광역시 광산구 송정로 8번길 29, 밀밭양조장",이한샘,622333225,기타잡화,,,
50619,1913송정역시장(송정역전매일시장),솔잎세탁소,"광주광역시 광산구 송정로 8번길 50솔잎세탁소, 솔잎세탁소",김상옥,629427913,기타잡화,,,
50618,1913송정역시장(송정역전매일시장),오며가며,"광주광역시 광산구 송정로8번길 22, 오며가며, 오며가며",김효자,629438277,기타잡화,,,
50617,1913송정역시장(송정역전매일시장),국수집,"광주광역시 광산구 송정로 8번길, 27",전범수,-,국수,,,
50616,1913송정역시장(송정역전매일시장),오늘,"광주광역시 광산구 송정로 8번길, 34",최영희,-,공방,,,
50615,1913송정역시장(송정역전매일시장),서울방앗간,"광주광역시 광산구 송정로 8번길, 서울계면공업사",임정례,629440538,곡물제분,,,
50614,1913송정역시장(송정역전매일시장),고로케삼촌,"광주광역시 광산구 송정로 8번길, 11",정승오,629444600,고로케,,,
50613,1913송정역시장(송정역전매일시장),농협홍삼등지,"광주광역시 광산구 송정로8번길 12(송정동), 농협홍삼등지",김영자,-,건강 기능식품(홍삼) 건강 기능식품(홍삼),,,
50612,375st여주아울렛,롯데리아 여주375아울렛점,"경기 여주시 명품1로 22-5, 롯데리아 여주375아울렛점",한현기,318829060,햄버거,,,
50611,375st여주아울렛,아베크롬비 여주375아울렛점,"경기도 여주시 명품로 308-11 (상거동), 아베크롬비매장",정민,318822799,의류매장,,,
50610,375st여주아울렛,파파몰,"경기도 여주시 명품로 308-11 (상거동), 375st 2블럭 아베크롬비",최성환,318822799,스포츠의류 및 용품,,,
50609,sk하이닉스상점가,BBQ SK이천하이닉스점,"경기도 이천시 부발읍 경충대로 2102, 시티프라자별관 101호",이원규,316329282,한식,,,
